X;I;;;;II; ; ; ;III; ; ; ;IV;;
X;	1A;	1A1;	1B;	1C;	2A;	2A1;	2B;	2C;	3A;	3A1;	3B;	3C;	4A;	4A1;	
0;	3213.58690201;	0;	0;	0;	2088.83148631;	0;	0;	0;	2088.83148631;	0;	0;	0;	1446.1141059;	0;	
0.025;	2912.34937515;	0;	0;	0;	1893.02709385;	0;	0;	0;	1893.02709385;	0;	0;	0;	1310.55721882;	0;	
0.05;	2623.77502036;	0;	0;	0;	1705.45376323;	0;	0;	0;	1705.45376323;	0;	0;	0;	1180.69875916;	0;	
0.075;	2354.78617163;	0;	0;	0;	1530.61101156;	0;	0;	0;	1530.61101156;	0;	0;	0;	1059.65377723;	0;	
0.1;	2204.24751996;	0;	0;	0;	1432.76088797;	0;	0;	0;	1432.76088797;	0;	0;	0;	991.91138398;	0;	
0.125;	0;	2168.70575262;	0;	0;	0;	1409.6587392;	0;	0;	0;	1409.6587392;	0;	0;	0;	975.91758868;	
0.15;	0;	2095.86864732;	0;	0;	0;	1362.31462076;	0;	0;	0;	1362.31462076;	0;	0;	0;	943.14089129;	
0.175;	0;	2195.04030799;	0;	0;	0;	1426.77620019;	0;	0;	0;	1426.77620019;	0;	0;	0;	987.7681386;	
0.2;	0;	1546.77881416;	0;	0;	0;	1005.4062292;	0;	0;	0;	1005.4062292;	0;	0;	0;	696.05046637;	
0.225;	0;	1518.0163982;	0;	0;	0;	986.71065883;	0;	0;	0;	986.71065883;	0;	0;	0;	683.10737919;	
0.25;	0;	1489.25398223;	0;	0;	0;	968.01508845;	0;	0;	0;	968.01508845;	0;	0;	0;	670.164292;	
0.275;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.3;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.325;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.35;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.375;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.4;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.425;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.45;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.475;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.5;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.525;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.55;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.575;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.6;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.625;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.65;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.675;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.7;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.725;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.75;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.775;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.8;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.825;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.85;	0;	0;	1471.45853063;	0;	0;	0;	735.72926532;	0;	0;	0;	588.58341225;	0;	0;	0;	
0.875;	0;	0;	0;	1280.16892165;	0;	0;	0;	640.08446082;	0;	0;	0;	0;	0;	0;	
0.9;	0;	0;	0;	1280.16892165;	0;	0;	0;	640.08446082;	0;	0;	0;	0;	0;	0;	
0.925;	0;	0;	0;	1280.16892165;	0;	0;	0;	640.08446082;	0;	0;	0;	0;	0;	0;	
0.95;	0;	0;	0;	1280.16892165;	0;	0;	0;	640.08446082;	0;	0;	0;	0;	0;	0;	
0.975;	0;	0;	0;	1280.16892165;	0;	0;	0;	640.08446082;	0;	0;	0;	0;	0;	0;	
1;	0;	0;	0;	1280.16892165;	0;	0;	0;	640.08446082;	0;	0;	0;	0;	0;	0;	
