X;	Alfa;	Betta;	sqrt2;	Um;	
0;	30.64;	21.94;	1.1817512459450237;	0.75041204;	
0.025;	28.45;	26.27;	1.0406653606436356;	0.64495236;	
0.05;	25.53;	30.05;	0.9217288248841392;	0.55718507;	
0.075;	22.15;	32.59;	0.8244127220630928;	0.4857852;	
0.1;	19.22;	29.84;	0.8025595782716715;	0.4606692;	
0.125;	15.57;	20.88;	0.8635332391821485;	0.4824992;	
0.15;	10.27;	9.7;	1.0289620433222686;	0.55924087;	
0.175;	5.87;	2.45;	1.54787543663789;	0.89738756;	
0.2;	3;	2.45;	1.1065666703449761;	0.6230164;	
0.225;	3;	2.45;	1.1065666703449761;	0.60449593;	
0.25;	3;	2.45;	1.1065666703449761;	0.58597546;	
