X;	Vm;	Alfa;	Pmai;	
0;	1.20967808;	30.64;	6672.13364311871;	
0.025;	1.150603625;	28.45;	6346.300956579162;	
0.05;	1.0995788699999998;	25.53;	6064.867416453023;	
0.075;	1.054174625;	22.15;	5814.434515656057;	
0.1;	1.02998572;	19.22;	5681.017526864542;	
0.125;	1.001268645;	15.57;	5522.624839250111;	
0.15;	0.9315892699999999;	10.27;	5138.29936468337;	
0.175;	0.8888899449999998;	5.87;	4902.785794931854;	
0.2;	0.9082199999999999;	3;	5009.403177209984;	
0.225;	1.05991;	3;	5846.068707534116;	
0.25;	1.2427249999999999;	3;	6854.40814273885;	
