X;I;;;;II; ; ; ;III; ; ; ;IV;;
X;	1A;	1A1;	1B;	1C;	2A;	2A1;	2B;	2C;	3A;	3A1;	3B;	3C;	4A;	4A1;	
0;	7,2767679710848965;	0;	0;	0;	7,2767679710848965;	0;	0;	0;	7,2767679710848965;	0;	0;	0;	7,2767679710848965;	0;	
0,025;	6,7460949353856305;	0;	0;	0;	6,7460949353856305;	0;	0;	0;	6,7460949353856305;	0;	0;	0;	6,7460949353856305;	0;	
0,05;	6,2703006585869066;	0;	0;	0;	6,2703006585869066;	0;	0;	0;	6,2703006585869066;	0;	0;	0;	6,2703006585869066;	0;	
0,075;	5,854782559065134;	0;	0;	0;	5,854782559065134;	0;	0;	0;	5,854782559065134;	0;	0;	0;	5,854782559065134;	0;	
0,1;	5,701422414619628;	0;	0;	0;	5,701422414619628;	0;	0;	0;	5,701422414619628;	0;	0;	0;	5,701422414619628;	0;	
0,125;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	
0,15;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	
0,175;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	
0,2;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	
0,225;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	
0,25;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	0;	0;	0;	5,496462283854743;	
0,275;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,3;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,325;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,35;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,375;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,4;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,425;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,45;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,475;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,5;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,525;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,55;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,575;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,6;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,625;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,65;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,675;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,7;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,725;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,75;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,775;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,8;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,825;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,85;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	5,91890892;	0;	0;	0;	
0,875;	0;	0;	0;	4,735127159999999;	0;	0;	0;	4,735127159999999;	0;	0;	0;	0;	0;	0;	
0,9;	0;	0;	0;	4,735127159999999;	0;	0;	0;	4,735127159999999;	0;	0;	0;	0;	0;	0;	
0,925;	0;	0;	0;	4,735127159999999;	0;	0;	0;	4,735127159999999;	0;	0;	0;	0;	0;	0;	
0,95;	0;	0;	0;	4,735127159999999;	0;	0;	0;	4,735127159999999;	0;	0;	0;	0;	0;	0;	
0,975;	0;	0;	0;	4,735127159999999;	0;	0;	0;	4,735127159999999;	0;	0;	0;	0;	0;	0;	
1;	0;	0;	0;	4,735127159999999;	0;	0;	0;	4,735127159999999;	0;	0;	0;	0;	0;	0;	
