X;I;;;;II; ; ; ;III; ; ; ;IV;;
X;	1A;	1A1;	1B;	1C;	2A;	2A1;	2B;	2C;	3A;	3A1;	3B;	3C;	4A;	4A1;	
0;	1,11040513;	0;	0;	0;	1,11040513;	0;	0;	0;	1,11040513;	0;	0;	0;	1,11040513;	0;	
0,025;	0,95435357;	0;	0;	0;	0,95435357;	0;	0;	0;	0,95435357;	0;	0;	0;	0,95435357;	0;	
0,05;	0,82448192;	0;	0;	0;	0,82448192;	0;	0;	0;	0,82448192;	0;	0;	0;	0,82448192;	0;	
0,075;	0,71882959;	0;	0;	0;	0,71882959;	0;	0;	0;	0,71882959;	0;	0;	0;	0,71882959;	0;	
0,1;	0,68166476;	0;	0;	0;	0,68166476;	0;	0;	0;	0,68166476;	0;	0;	0;	0,68166476;	0;	
0,125;	0;	0,83296174;	0;	0;	0;	0,83296174;	0;	0;	0;	0,83296174;	0;	0;	0;	0,83296174;	
0,15;	0;	0,9654446;	0;	0;	0;	0,9654446;	0;	0;	0;	0,9654446;	0;	0;	0;	0,9654446;	
0,175;	0;	1,54920361;	0;	0;	0;	1,54920361;	0;	0;	0;	1,54920361;	0;	0;	0;	1,54920361;	
0,2;	0;	1,07554339;	0;	0;	0;	1,07554339;	0;	0;	0;	1,07554339;	0;	0;	0;	1,07554339;	
0,225;	0;	1,0435706;	0;	0;	0;	1,0435706;	0;	0;	0;	1,0435706;	0;	0;	0;	1,0435706;	
0,25;	0;	1,01159782;	0;	0;	0;	1,01159782;	0;	0;	0;	1,01159782;	0;	0;	0;	1,01159782;	
0,275;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,3;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,325;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,35;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,375;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,4;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,425;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,45;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,475;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,5;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,525;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,55;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,575;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,6;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,625;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,65;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,675;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,7;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,725;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,75;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,775;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,8;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,825;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,85;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	0,98648482;	0;	0;	0;	
0,875;	0;	0;	0;	0,78918786;	0;	0;	0;	0,78918786;	0;	0;	0;	0;	0;	0;	
0,9;	0;	0;	0;	0,78918786;	0;	0;	0;	0,78918786;	0;	0;	0;	0;	0;	0;	
0,925;	0;	0;	0;	0,78918786;	0;	0;	0;	0,78918786;	0;	0;	0;	0;	0;	0;	
0,95;	0;	0;	0;	0,78918786;	0;	0;	0;	0,78918786;	0;	0;	0;	0;	0;	0;	
0,975;	0;	0;	0;	0,78918786;	0;	0;	0;	0,78918786;	0;	0;	0;	0;	0;	0;	
1;	0;	0;	0;	0,78918786;	0;	0;	0;	0,78918786;	0;	0;	0;	0;	0;	0;	
