X;	Ul;	Alfa;	la;	
0;	1,1693571200000001;	30,64;	3,919984988687163;	
0,025;	1,1566292500000002;	28,45;	3,8773179039406642;	
0,05;	1,12283573;	25,53;	3,7640333573729743;	
0,075;	1,06966325;	22,15;	3,5857855664746148;	
0,1;	1,0198874800000002;	19,22;	3,4189244187010885;	
0,125;	0,9399725300000001;	15,57;	3,1510290093229125;	
0,15;	0,7904981300000001;	10,27;	2,6499524825959697;	
0,175;	0,65399293;	5,87;	2,1923520406730277;	
0,2;	0,566;	3;	1,8973771704549365;	
0,225;	0,5952875;	3;	1,995556382256525;	
0,25;	0,6267999999999999;	3;	2,1011943647370215;	
